timestamp,http_error_rate,latency_p95,latency_p99,throughput,service_status,cpu_pressure,memory_pressure,db_pool_pressure,web_pressure,disk_pressure,network_pressure,http_error_rate_delta,latency_p95_delta,throughput_delta,cpu_pressure_delta,memory_pressure_delta
2026-04-07 10:00:31.559000015+09:00,0.0,12.652815050000001,13.715371810000002,0.06666666666666667,1.0,0.010535117056856187,0.6118601981689654,0.0,0.0014404296874999999,0.699582584195886,0.021052631578947364,0.0,0.0,0.0,3.522272503126561e-06,0.0020134794450515914
2026-04-07 10:01:31.559000015+09:00,0.0,22.649241250000003,26.89946905000001,0.06666666666666667,1.0,0.08198815165876777,0.6185977942413845,0.0,0.0014404296874999999,0.6995814381051301,0.047368421052631574,0.0,9.996426200000002,0.0,0.07145303460191159,0.006737596072419083
2026-04-07 10:02:31.559000015+09:00,0.0,22.649241250000003,26.89946905000001,0.06666666666666667,1.0,0.13140647238224332,0.6258296244953864,0.0,0.0014404296874999999,0.6995814381051301,0.05614035087719298,0.0,0.0,0.0,0.049418320723475545,0.00723183025400187
2026-04-07 10:03:31.559000015+09:00,0.0,22.649241250000003,26.89946905000001,0.06666666666666667,1.0,0.09819404240996298,0.6307444151109529,0.0,0.0014404296874999999,0.6995833482563901,0.057894736842105256,0.0,0.0,0.0,-0.03321242997228034,0.004914790615566544
2026-04-07 10:04:31.559000015+09:00,0.0,22.649241250000003,26.89946905000001,0.06666666666666667,1.0,0.15240309555854642,0.6364174400498346,0.0,0.0014404296874999999,0.6995329202631234,0.08245614035087719,0.0,0.0,0.0,0.054209053148583444,0.005673024938881666
2026-04-07 10:05:31.559000015+09:00,0.0,22.649241250000003,26.89946905000001,0.06666666666666667,1.0,0.1251901408450704,0.6427115199556086,0.0,0.0014404296874999999,0.6995363585353915,0.09473684210526315,0.0,0.0,0.0,-0.027212954713476012,0.006294079905774019
2026-04-07 10:06:31.559000015+09:00,0.0,11.254714050000002,12.317270810000004,0.06666666666666667,1.0,0.2507246278755074,0.6437679504587901,0.0,0.0014404296874999999,0.6995378866563997,0.07543859649122807,0.0,-11.3945272,0.0,0.12553448703043701,0.0010564305031814936
2026-04-07 10:07:31.559000015+09:00,0.0,11.254714050000002,12.317270810000004,0.06666666666666667,1.0,0.16236577181208053,0.6486284727983734,0.0,0.0014404296874999999,0.6995405608681637,0.0719298245614035,0.0,0.0,0.0,-0.08835885606342689,0.00486052233958334
2026-04-07 10:08:31.559000015+09:00,0.0,11.254714050000002,12.317270810000004,0.06666666666666667,1.0,0.20800571044675847,0.6532097795917431,0.0,0.0014404296874999999,0.6995447632009361,0.08245614035087719,0.0,0.0,0.0,0.04563993863467794,0.004581306793369655
2026-04-07 10:09:31.559000015+09:00,0.0,11.254714050000002,12.317270810000004,0.06666666666666667,1.0,0.1681041596779604,0.6594277567271449,0.0,0.0014404296874999999,0.6995539319269846,0.06666666666666667,0.0,0.0,0.0,-0.03990155076879806,0.006217977135401842
2026-04-07 10:10:31.559000015+09:00,0.0,11.254714050000002,12.317270810000004,0.06666666666666667,1.0,0.17108291288261016,0.6612733595427533,0.0,0.0014404296874999999,0.6995501116244642,0.06140350877192982,0.0,0.0,0.0,0.0029787532046497422,0.0018456028156084159
2026-04-07 10:11:31.559000015+09:00,0.0,7.060411050000001,8.12296781,0.06666666666666667,1.0,0.1134085733422639,0.6629886170599726,0.0,0.0014404296874999999,0.6995482014732042,0.0543859649122807,0.0,-4.1943030000000014,0.0,-0.05767433954034626,0.0017152575172192375
2026-04-07 10:12:31.559000015+09:00,0.0,68.22734505000003,85.22825701000004,0.06666666666666667,1.0,0.22833898020798388,0.3185853981627575,0.0,0.0014404296874999999,0.6995489655337082,0.047368421052631574,0.0,61.166934000000026,0.0,0.11493040686571998,-0.3444032188972151
2026-04-07 10:13:31.559000015+09:00,0.0,68.22734505000003,85.22825701000004,0.06666666666666667,1.0,0.1338925814031554,0.3233756631776695,0.0,0.0014404296874999999,0.6995501116244642,0.03508771929824561,0.0,0.0,0.0,-0.09444639880482847,0.004790265014912032
